Mar 29 \'15,CALGARY,5,NASHVILLE,2,,J. Hiller,M. Ferland,30,0,1,2,29,0,1,2,"17,113"
Mar 29 \'15,WASHINGTON,5,NY RANGERS,2,,B. Holtby,J. Chimera,31,1,4,10,25,0,5,8,"18,006"
Mar 28 \'15,DALLAS,4,VANCOUVER,3,OT,K. Lehtonen,J. Klingberg,40,0,1,13,36,2,3,9,"18,595"
Mar 28 \'15,BUFFALO,3,COLORADO,5,,S. Varlamov,M. Duchene,38,0,3,4,22,0,1,8,"18,007"
Mar 28 \'15,LOS ANGELES,1,MINNESOTA,4,,D. Dubnyk,M. Koivu,32,0,3,9,20,1,2,11,"19,204"
Mar 28 \'15,COLUMBUS,4,ST LOUIS,2,,S. Bobrovsky,B. Jenner,17,1,2,12,31,1,6,4,"19,431"
Mar 28 \'15,NEW JERSEY,1,CAROLINA,3,,C. Ward,E. Staal,22,1,1,6,32,0,3,2,"12,578"
Mar 28 \'15,FLORIDA,2,MONTREAL,3,OT,C. Price,M. Pacioretty,23,1,1,10,25,2,4,4,"21,287"
Mar 28 \'15,OTTAWA,3,TORONTO,4,OT,J. Reimer,E. Brewer,25,1,1,11,31,1,3,7,"18,906"
Mar 28 \'15,TAMPA BAY,0,DETROIT,4,,P. Mrazek,J. Andersson,23,0,6,20,23,0,4,24,"20,027"
Mar 28 \'15,ARIZONA,2,PITTSBURGH,3,,T. Greiss,S. Crosby,24,0,2,21,46,2,6,26,"18,627"
Mar 28 \'15,SAN JOSE,3,PHILADELPHIA,2,SO,A. Stalock,B. Burns,44,1,4,16,18,1,3,18,"18,783"
Mar 28 \'15,ANAHEIM,3,NY ISLANDERS,2,,F. Andersen,A. Cogliano,24,0,0,8,31,0,4,0,"16,170"
Mar 28 \'15,NY RANGERS,2,BOSTON,4,,T. Rask,C. Soderberg,32,0,0,24,30,0,1,7,"17,565"
Mar 28 \'15,NASHVILLE,4,WASHINGTON,3,,P. Rinne,M. Ribeiro,27,0,3,10,28,0,3,10,"18,506"
Mar 27 \'15,DALLAS,0,EDMONTON,4,,R. Bachman,J. Eberle,29,0,3,4,28,0,1,8,"16,839"
