Team,Game,Opp Team,GP,SAT For,SAT Agst,SAT,SAT Tied,SAT Ahead,SAT Behind,SAT Close,USAT For,USAT Agst,USAT,USAT Tied,USAT Ahead,USAT Behind,USAT Close
New York Islanders,2013/03/30  vs. PIT,PIT,1,40,42,-2,-2,0,0,-2,29,32,-3,-3,0,0,-3
Carolina Hurricanes,2013/02/14  vs. TOR,TOR,1,58,33,25,16,9,0,17,41,24,17,10,7,0,11
Anaheim Ducks,2013/04/19  vs. CGY,CGY,1,61,42,19,3,0,16,4,41,29,12,2,0,10,1
New Jersey Devils,2013/03/21  vs. CAR,CAR,1,40,45,-5,-1,-4,0,5,25,32,-7,-2,-5,0,-8
Phoenix Coyotes,2013/03/16  vs. CBJ,CBJ,1,61,39,22,22,0,0,22,42,28,14,14,0,0,14
Phoenix Coyotes,2013/03/02  vs. ANA,ANA,1,73,39,34,30,1,3,31,48,28,20,16,1,3,17
Colorado Avalanche,2013/02/11  vs. PHX,PHX,1,51,37,14,7,3,4,18,45,28,17,8,6,3,18
St. Louis Blues,2013/02/23  vs. CBJ,CBJ,1,32,35,-3,-4,1,0,-2,26,19,7,-3,10,0,3
Carolina Hurricanes,2013/03/19  vs. FLA,FLA,1,61,57,4,-3,0,7,-3,45,47,-2,-7,0,5,-7
Colorado Avalanche,2013/02/16  vs. EDM,EDM,1,43,67,-24,0,-24,0,-15,35,53,-18,0,-17,-1,-9
Tampa Bay Lightning,2013/02/24  vs. PIT,PIT,1,46,36,10,2,0,8,4,31,24,7,2,0,5,6
Florida Panthers,2013/03/26  vs. TOR,TOR,1,71,46,25,13,9,3,22,52,31,21,9,11,1,20
Minnesota Wild,2013/04/03  vs. SJS,SJS,1,53,42,11,3,0,8,6,33,33,0,0,0,0,0
Colorado Avalanche,2013/04/27  vs. MIN,MIN,1,49,36,13,7,0,6,-2,37,31,6,5,0,1,-6
Philadelphia Flyers,2013/04/16  vs. NYR,NYR,1,36,52,-16,-2,-14,0,-4,22,40,-18,2,-20,0,-1
New York Islanders,2013/04/23  vs. CAR,CAR,1,68,52,16,6,0,10,6,56,38,18,6,0,12,8
Winnipeg Jets,2013/02/15  vs. PIT,PIT,1,51,52,-1,-2,0,1,-2,39,39,0,-3,0,3,0
Boston Bruins,2013/02/26  vs. NYI,NYI,1,44,50,-6,5,-11,0,7,33,38,-5,3,-8,0,3
New Jersey Devils,2013/01/31  vs. NYI,NYI,1,37,27,10,5,0,5,8,28,20,8,7,0,1,6
Nashville Predators,2013/03/04  vs. LAK,LAK,1,29,42,-13,-5,0,-8,-8,24,30,-6,-3,0,-3,-3
Nashville Predators,2013/02/22  vs. VAN,VAN,1,33,53,-20,-24,0,4,-24,22,39,-17,-18,0,1,-18
Boston Bruins,2013/04/11  vs. NYI,NYI,1,49,50,-1,4,0,-5,-3,34,43,-9,1,0,-10,-9
Carolina Hurricanes,2013/02/24  vs. NYI,NYI,1,50,47,3,5,0,-2,10,34,33,1,5,1,-5,8
Ottawa Senators,2013/02/23  vs. TOR,TOR,1,64,50,14,5,3,6,12,42,34,8,4,1,3,8
St. Louis Blues,2013/04/25  vs. CGY,CGY,1,36,27,9,5,4,0,4,25,20,5,2,3,0,2
Toronto Maple Leafs,2013/03/06  vs. OTT,OTT,1,49,81,-32,-9,-23,0,-10,37,59,-22,-6,-16,0,-6
Anaheim Ducks,2013/04/07  vs. LAK,LAK,1,25,61,-36,-15,-21,0,-18,21,39,-18,-10,-8,0,-8
Boston Bruins,2013/02/06  vs. MTL,MTL,1,37,40,-3,0,-7,4,4,27,21,6,-2,1,7,5
Buffalo Sabres,2013/03/05  vs. CAR,CAR,1,55,54,1,-2,0,3,-25,44,35,9,-1,0,10,-15
Vancouver Canucks,2013/04/04  vs. EDM,EDM,1,36,34,2,6,-4,0,10,32,25,7,7,0,0,12
Tampa Bay Lightning,2013/02/26  vs. BUF,BUF,1,38,34,4,-3,3,4,0,31,27,4,0,1,3,1
Philadelphia Flyers,2013/04/23  vs. BOS,BOS,1,44,61,-17,-4,-13,0,-5,34,43,-9,-3,-6,0,-3
San Jose Sharks,2013/04/24  vs. PHX,PHX,1,55,43,12,-3,0,15,4,39,32,7,1,0,6,3
Columbus Blue Jackets,2013/03/12  vs. VAN,VAN,1,39,60,-21,-17,-4,0,-21,32,36,-4,-1,-3,0,-4
Toronto Maple Leafs,2013/03/09  vs. PIT,PIT,1,40,60,-20,-5,0,-15,-23,27,45,-18,-2,0,-16,-14
Columbus Blue Jackets,2013/03/10  vs. DET,DET,1,34,26,8,7,1,0,8,23,21,2,4,-2,0,2
Nashville Predators,2013/04/01  vs. CHI,CHI,1,40,47,-7,-8,0,1,-20,30,32,-2,-4,0,2,-10
Montreal Canadiens,2013/04/01  vs. CAR,CAR,1,44,44,0,6,-3,-3,0,33,30,3,3,1,-1,1
Los Angeles Kings,2013/04/02  vs. PHX,PHX,1,51,49,2,7,0,-5,5,43,41,2,8,0,-6,6
Washington Capitals,2013/03/26  vs. NYI,NYI,1,56,36,20,12,0,8,15,36,27,9,9,0,0,8
Nashville Predators,2013/02/27  vs. ANA,ANA,1,35,41,-6,-3,0,-3,-3,24,31,-7,-2,0,-5,-3
Nashville Predators,2013/02/18  vs. COL,COL,1,57,37,20,-2,0,22,-2,38,29,9,-1,0,10,0
Edmonton Oilers,2013/04/21  vs. ANA,ANA,1,37,43,-6,-7,1,0,-9,28,34,-6,-9,3,0,-9
Vancouver Canucks,2013/04/25  vs. ANA,ANA,1,47,41,6,-4,0,10,-4,34,28,6,-4,0,10,-4
Carolina Hurricanes,2013/04/21  vs. TBL,TBL,1,35,52,-17,0,-17,0,-4,31,44,-13,0,-13,0,-1
Pittsburgh Penguins,2013/03/26  vs. MTL,MTL,1,35,60,-25,-14,-11,0,-18,23,44,-21,-12,-9,0,-16
Winnipeg Jets,2013/04/18  vs. CAR,CAR,1,41,47,-6,1,-7,0,-3,29,27,2,5,-3,0,4
Dallas Stars,2013/02/21  vs. VAN,VAN,1,41,32,9,5,3,1,8,27,24,3,3,1,-1,4
Edmonton Oilers,2013/01/26  vs. CGY,CGY,1,26,35,-9,3,0,-12,2,20,28,-8,3,0,-11,5
New York Islanders,2013/04/04  vs. WSH,WSH,1,47,42,5,-7,0,12,0,33,26,7,-2,0,9,2
Colorado Avalanche,2013/02/23  vs. LAK,LAK,1,30,42,-12,0,0,-12,-2,27,32,-5,0,0,-5,-1
Calgary Flames,2013/04/03  vs. EDM,EDM,1,40,45,-5,-11,2,4,-9,30,36,-6,-8,-1,3,-9
New York Rangers,2013/04/19  vs. BUF,BUF,1,43,45,-2,7,-9,0,6,33,30,3,3,0,0,3
Edmonton Oilers,2013/03/30  vs. VAN,VAN,1,43,39,4,0,4,0,1,35,26,9,0,9,0,1
Montreal Canadiens,2013/04/23  vs. NJD,NJD,1,22,30,-8,1,0,-9,1,18,23,-5,2,0,-7,2
New York Islanders,2013/03/24  vs. FLA,FLA,1,44,48,-4,0,-4,0,-6,35,32,3,1,2,0,-3
Edmonton Oilers,2013/04/16  vs. MIN,MIN,1,35,37,-2,-2,0,0,-1,23,28,-5,-3,0,-2,-1
Colorado Avalanche,2013/04/19  vs. EDM,EDM,1,53,40,13,0,0,13,8,32,29,3,0,0,3,4
Phoenix Coyotes,2013/04/18  vs. STL,STL,1,46,45,1,-1,0,2,0,34,35,-1,2,0,-3,1
Colorado Avalanche,2013/03/30  vs. NSH,NSH,1,51,42,9,9,0,0,9,34,32,2,2,0,0,2
Anaheim Ducks,2013/02/18  vs. CBJ,CBJ,1,41,58,-17,-5,-11,-1,-8,33,33,0,-2,0,2,5
Minnesota Wild,2013/04/15  vs. CGY,CGY,1,46,28,18,1,17,0,5,32,25,7,0,7,0,0
Vancouver Canucks,2013/02/21  vs. DAL,DAL,1,32,41,-9,-5,-1,-3,-8,24,27,-3,-3,1,-1,-4
Philadelphia Flyers,2013/03/24  vs. PIT,PIT,1,49,57,-8,-2,-6,0,-4,36,42,-6,-5,-1,0,-6
Phoenix Coyotes,2013/02/14  vs. NSH,NSH,1,39,49,-10,-7,0,-3,-7,24,34,-10,-10,0,0,-10
Dallas Stars,2013/02/17  vs. CGY,CGY,1,46,39,7,2,0,5,2,34,30,4,2,2,0,1
Detroit Red Wings,2013/02/10  vs. LAK,LAK,1,32,53,-21,-4,-17,0,-17,27,46,-19,-4,-15,0,-16
Philadelphia Flyers,2013/01/24  vs. NYR,NYR,1,52,36,16,2,14,0,5,40,20,20,6,14,0,8
Carolina Hurricanes,2013/04/09  vs. PIT,PIT,1,52,60,-8,-2,3,-9,-5,36,46,-10,-3,3,-10,-5
Colorado Avalanche,2013/04/26  vs. PHX,PHX,1,34,41,-7,-2,-6,1,-4,23,32,-9,-1,-8,0,-6
New York Islanders,2013/04/13  vs. NYR,NYR,1,57,29,28,28,0,0,28,40,19,21,21,0,0,21
Columbus Blue Jackets,2013/01/31  vs. STL,STL,1,33,26,7,1,0,6,-6,24,26,-2,1,0,-3,-6
Detroit Red Wings,2013/03/20  vs. MIN,MIN,1,41,21,20,-1,0,21,3,34,15,19,0,0,19,2
New Jersey Devils,2013/03/29  vs. TBL,TBL,1,33,33,0,7,-7,0,8,28,26,2,5,-3,0,5
Minnesota Wild,2013/01/22  vs. NSH,NSH,1,42,31,11,8,-2,5,6,29,24,5,3,0,2,3
Ottawa Senators,2013/01/30  vs. MTL,MTL,1,37,45,-8,1,-10,1,2,27,29,-2,5,-8,1,6
Vancouver Canucks,2013/01/25  vs. ANA,ANA,1,33,35,-2,-1,-1,0,1,28,29,-1,-4,3,0,-1
Chicago Blackhawks,2013/02/10  vs. NSH,NSH,1,44,39,5,7,-2,0,8,33,26,7,7,0,0,8
Boston Bruins,2013/03/09  vs. PHI,PHI,1,65,42,23,4,19,0,5,41,27,14,-1,15,0,0
Pittsburgh Penguins,2013/02/28  vs. CAR,CAR,1,45,37,8,0,1,7,-3,33,28,5,-1,1,5,-4
Phoenix Coyotes,2013/03/18  vs. LAK,LAK,1,41,36,5,-1,0,6,5,33,29,4,-1,0,5,3
Florida Panthers,2013/02/28  vs. BUF,BUF,1,56,31,25,5,0,20,21,45,22,23,4,0,19,18
New York Islanders,2013/04/09  vs. PHI,PHI,1,56,48,8,0,5,3,8,40,36,4,-4,7,1,1
Phoenix Coyotes,2013/02/11  vs. COL,COL,1,37,51,-14,-7,-4,-3,-18,28,45,-17,-8,-3,-6,-18
Montreal Canadiens,2013/03/30  vs. NYR,NYR,1,50,68,-18,-1,-17,0,-12,35,45,-10,-1,-9,0,-10
Florida Panthers,2013/03/03  vs. CAR,CAR,1,47,35,12,13,0,-1,12,39,25,14,11,0,3,10
Columbus Blue Jackets,2013/04/15  vs. COL,COL,1,55,53,2,1,2,-1,0,36,41,-5,-6,2,-1,-7
Dallas Stars,2013/04/01  vs. ANA,ANA,1,40,48,-8,1,0,-9,0,31,35,-4,1,0,-5,1
Phoenix Coyotes,2013/04/12  vs. CGY,CGY,1,54,38,16,17,-6,5,13,42,29,13,11,-5,7,8
Los Angeles Kings,2013/04/18  vs. CBJ,CBJ,1,34,34,0,3,-3,0,5,26,21,5,2,3,0,9
San Jose Sharks,2013/04/09  vs. CBJ,CBJ,1,51,41,10,3,0,7,5,39,33,6,0,0,6,3
Nashville Predators,2013/03/09  vs. MIN,MIN,1,39,35,4,7,0,-3,2,29,29,0,1,0,-1,-3
Nashville Predators,2013/02/25  vs. DAL,DAL,1,28,40,-12,-7,2,-7,-6,22,26,-4,-2,2,-4,-1
Chicago Blackhawks,2013/04/14  vs. STL,STL,1,38,39,-1,2,-3,0,8,32,31,1,1,0,0,8
Montreal Canadiens,2013/03/27  vs. BOS,BOS,1,33,45,-12,-5,-8,1,-11,26,32,-6,-2,-7,3,-7
Colorado Avalanche,2013/01/26  vs. SJS,SJS,1,58,54,4,-3,0,7,-3,36,34,2,3,0,-1,3
Winnipeg Jets,2013/02/24  vs. NJD,NJD,1,39,39,0,-1,2,-1,1,31,30,1,0,1,0,0
Colorado Avalanche,2013/01/24  vs. CBJ,CBJ,1,36,46,-10,0,-10,0,4,31,27,4,0,4,0,6
Colorado Avalanche,2013/02/18  vs. NSH,NSH,1,37,57,-20,2,-22,0,2,29,38,-9,1,-10,0,0
Toronto Maple Leafs,2013/04/25  vs. FLA,FLA,1,30,56,-26,-3,-23,0,-4,24,37,-13,-2,-11,0,-1
Ottawa Senators,2013/04/09  vs. TBL,TBL,1,55,26,29,20,2,7,26,41,21,20,14,1,5,17
Edmonton Oilers,2013/04/01  vs. CGY,CGY,1,44,59,-15,-4,-11,0,-14,29,48,-19,-3,-16,0,-10
Washington Capitals,2013/01/25  vs. NJD,NJD,1,27,29,-2,6,0,-8,-6,26,20,6,7,0,-1,2
San Jose Sharks,2013/04/13  vs. DAL,DAL,1,62,31,31,2,0,29,4,42,21,21,1,0,20,1
San Jose Sharks,2013/03/28  vs. DET,DET,1,51,59,-8,3,-11,0,-1,36,39,-3,-1,-2,0,-2
Pittsburgh Penguins,2013/03/28  vs. WPG,WPG,1,68,39,29,9,20,0,9,54,29,25,6,19,0,7
Colorado Avalanche,2013/03/10  vs. SJS,SJS,1,49,39,10,0,10,0,2,40,33,7,1,6,0,1
Winnipeg Jets,2013/03/07  vs. TBL,TBL,1,46,40,6,2,4,0,9,34,29,5,2,3,0,9
San Jose Sharks,2013/04/21  vs. CBJ,CBJ,1,64,45,19,6,0,13,6,46,28,18,9,0,9,5
New York Rangers,2013/03/05  vs. PHI,PHI,1,40,37,3,7,-4,0,5,30,24,6,10,-4,0,7
New Jersey Devils,2013/04/12  vs. OTT,OTT,1,44,23,21,8,0,13,5,35,15,20,8,0,12,6
Florida Panthers,2013/04/18  vs. NYR,NYR,1,50,47,3,0,0,3,-7,38,39,-1,-1,0,0,-6
St. Louis Blues,2013/01/27  vs. MIN,MIN,1,44,29,15,4,3,8,4,34,21,13,4,3,6,4
Winnipeg Jets,2013/03/30  vs. CAR,CAR,1,43,38,5,-2,0,7,7,31,29,2,-1,0,3,5
Phoenix Coyotes,2013/02/04  vs. MIN,MIN,1,56,43,13,9,4,0,10,43,31,12,5,7,0,4
Buffalo Sabres,2013/02/28  vs. FLA,FLA,1,31,56,-25,-5,-20,0,-21,22,45,-23,-4,-19,0,-18
Chicago Blackhawks,2013/03/31  vs. DET,DET,1,46,54,-8,2,-10,0,3,32,43,-11,0,-11,0,1
San Jose Sharks,2013/03/25  vs. ANA,ANA,1,40,52,-12,-2,-10,0,-5,36,34,2,-1,3,0,-5
Nashville Predators,2013/03/14  vs. VAN,VAN,1,37,36,1,-2,0,3,-2,30,29,1,0,0,1,-1
Montreal Canadiens,2013/04/17  vs. PIT,PIT,1,59,24,35,4,0,31,4,37,18,19,0,0,19,0
San Jose Sharks,2013/01/26  vs. COL,COL,1,54,58,-4,3,-7,0,3,34,36,-2,-3,1,0,-3
Buffalo Sabres,2013/01/27  vs. WSH,WSH,1,44,37,7,3,5,-1,7,30,29,1,-3,4,0,3
Montreal Canadiens,2013/02/19  vs. NYR,NYR,1,46,46,0,1,-3,2,3,26,31,-5,-2,-2,-1,-3
Dallas Stars,2013/02/13  vs. CGY,CGY,1,45,36,9,-2,0,11,-2,31,31,0,-2,0,2,-2
Ottawa Senators,2013/03/17  vs. WPG,WPG,1,54,35,19,2,17,0,8,46,28,18,0,18,0,3
Calgary Flames,2013/04/05  vs. SJS,SJS,1,34,67,-33,-30,-2,-1,-31,25,51,-26,-22,-3,-1,-24
Buffalo Sabres,2013/03/30  vs. WSH,WSH,1,31,49,-18,-1,-17,0,1,23,38,-15,0,-15,0,-2
Anaheim Ducks,2013/03/27  vs. SJS,SJS,1,54,42,12,0,0,12,-3,26,31,-5,0,0,-5,-2
Philadelphia Flyers,2013/02/15  vs. NJD,NJD,1,44,36,8,2,1,5,10,36,28,8,3,3,2,8
Washington Capitals,2013/03/14  vs. CAR,CAR,1,37,54,-17,-9,-1,-7,-24,27,39,-12,-8,-1,-3,-17
San Jose Sharks,2013/01/29  vs. ANA,ANA,1,41,46,-5,1,-6,0,-1,29,32,-3,2,-3,-2,2
Dallas Stars,2013/02/06  vs. EDM,EDM,1,49,40,9,12,-4,1,13,33,33,0,6,-4,-2,4
Toronto Maple Leafs,2013/02/09  vs. MTL,MTL,1,40,38,2,-3,5,0,3,29,27,2,-2,4,0,3
New York Islanders,2013/02/23  vs. BUF,BUF,1,48,38,10,11,-1,0,13,39,30,9,11,-2,0,13
Pittsburgh Penguins,2013/02/15  vs. WPG,WPG,1,52,51,1,2,-1,0,2,39,39,0,3,-3,0,0
Nashville Predators,2013/03/30  vs. COL,COL,1,42,51,-9,-9,0,0,-9,32,34,-2,-2,0,0,-2
Ottawa Senators,2013/01/24  vs. FLA,FLA,1,51,35,16,14,2,0,8,33,24,9,8,1,0,4
New York Islanders,2013/04/06  vs. TBL,TBL,1,50,50,0,4,-4,0,-2,33,27,6,3,3,0,2
St. Louis Blues,2013/04/19  vs. DAL,DAL,1,31,39,-8,1,-9,0,-1,22,27,-5,1,-6,0,-1
Phoenix Coyotes,2013/01/24  vs. SJS,SJS,1,45,47,-2,3,-11,6,7,30,33,-3,0,-8,5,3
Minnesota Wild,2013/03/18  vs. VAN,VAN,1,33,57,-24,-20,-5,1,-19,28,40,-12,-10,-3,1,-9
Philadelphia Flyers,2013/03/28  vs. NYI,NYI,1,49,55,-6,-8,0,2,-17,38,38,0,-5,4,1,-11
Montreal Canadiens,2013/04/27  vs. TOR,TOR,1,44,30,14,11,2,1,14,30,19,11,6,4,1,8
Detroit Red Wings,2013/02/09  vs. EDM,EDM,1,48,30,18,11,7,0,11,34,23,11,11,0,0,10
Boston Bruins,2013/03/14  vs. FLA,FLA,1,50,45,5,-5,10,0,2,40,33,7,-4,11,0,0
New York Rangers,2013/01/24  vs. PHI,PHI,1,36,52,-16,-2,0,-14,-5,20,40,-20,-6,0,-14,-8
Carolina Hurricanes,2013/03/14  vs. WSH,WSH,1,54,37,17,9,7,1,24,39,27,12,8,3,1,17
New York Rangers,2013/01/29  vs. PHI,PHI,1,42,37,5,0,5,0,4,29,26,3,-1,4,0,2
Nashville Predators,2013/04/19  vs. CHI,CHI,1,31,50,-19,-17,-1,-1,-16,26,38,-12,-9,-2,-1,-10
Boston Bruins,2013/02/02  vs. TOR,TOR,1,52,44,8,3,5,0,10,41,25,16,2,14,0,13
Vancouver Canucks,2013/03/12  vs. CBJ,CBJ,1,60,39,21,17,0,4,21,36,32,4,1,0,3,4
Phoenix Coyotes,2013/02/02  vs. DAL,DAL,1,42,36,6,1,5,0,4,30,23,7,4,3,0,5
Calgary Flames,2013/02/11  vs. MIN,MIN,1,40,31,9,17,0,-8,13,27,17,10,16,0,-6,13
Edmonton Oilers,2013/04/27  vs. VAN,VAN,1,54,47,7,-3,7,3,0,48,41,7,-4,7,4,0
Philadelphia Flyers,2013/04/25  vs. NYI,NYI,1,43,44,-1,-8,7,0,-3,32,29,3,-2,5,0,1
Colorado Avalanche,2013/03/08  vs. CHI,CHI,1,35,52,-17,-4,-15,2,-1,25,35,-10,1,-9,-2,0
Minnesota Wild,2013/03/03  vs. EDM,EDM,1,49,38,11,13,-2,0,12,43,26,17,15,2,0,17
Chicago Blackhawks,2013/04/06  vs. NSH,NSH,1,52,38,14,2,12,0,8,38,27,11,-1,12,0,8
Vancouver Canucks,2013/02/15  vs. DAL,DAL,1,37,29,8,3,2,3,-1,27,22,5,-1,4,2,-2
Washington Capitals,2013/04/27  vs. BOS,BOS,1,48,52,-4,-1,0,-3,-6,34,38,-4,-3,0,-1,-6
Montreal Canadiens,2013/03/09  vs. TBL,TBL,1,44,37,7,4,5,-2,5,36,25,11,5,4,2,6
Los Angeles Kings,2013/04/23  vs. MIN,MIN,1,42,41,1,-5,0,6,-5,33,36,-3,-4,0,1,-4
Dallas Stars,2013/04/18  vs. VAN,VAN,1,40,63,-23,-11,-6,-6,-17,33,53,-20,-10,-3,-7,-17
Buffalo Sabres,2013/03/10  vs. PHI,PHI,1,30,33,-3,-7,0,4,-8,18,24,-6,-4,0,-2,-7
Nashville Predators,2013/04/09  vs. STL,STL,1,29,51,-22,-18,0,-4,-21,20,35,-15,-15,0,0,-17
Chicago Blackhawks,2013/02/24  vs. CBJ,CBJ,1,41,23,18,8,10,0,12,32,16,16,5,11,0,9
New Jersey Devils,2013/04/01  vs. NYI,NYI,1,52,26,26,-1,0,27,5,33,22,11,-1,0,12,2
Pittsburgh Penguins,2013/04/25  vs. NJD,NJD,1,22,41,-19,-14,-2,-3,-14,18,37,-19,-16,-1,-2,-17
Dallas Stars,2013/01/20  vs. MIN,MIN,1,47,40,7,-4,0,11,13,28,32,-4,-4,0,0,5
Toronto Maple Leafs,2013/03/04  vs. NJD,NJD,1,35,58,-23,-10,-9,-4,-24,24,43,-19,-12,-4,-3,-23
New York Rangers,2013/04/06  vs. CAR,CAR,1,35,67,-32,-6,-26,0,-4,30,50,-20,-2,-18,0,0
Philadelphia Flyers,2013/02/21  vs. FLA,FLA,1,63,39,24,-1,0,25,-2,43,29,14,-1,0,15,-2
Winnipeg Jets,2013/01/19  vs. OTT,OTT,1,46,51,-5,0,-4,-1,-2,34,42,-8,-2,-1,-5,-4
New Jersey Devils,2013/04/20  vs. FLA,FLA,1,42,18,24,6,16,2,10,36,13,23,6,15,2,8
Pittsburgh Penguins,2013/03/30  vs. NYI,NYI,1,42,40,2,2,0,0,2,32,29,3,3,0,0,3
Ottawa Senators,2013/02/03  vs. MTL,MTL,1,57,43,14,-4,0,18,-6,36,34,2,-1,0,3,-4
St. Louis Blues,2013/04/14  vs. CHI,CHI,1,39,38,1,-2,0,3,-8,31,32,-1,-1,0,0,-8
Calgary Flames,2013/02/05  vs. DET,DET,1,33,52,-19,1,-20,0,-2,25,35,-10,1,-11,0,-1
Calgary Flames,2013/01/26  vs. EDM,EDM,1,35,26,9,-3,12,0,-2,28,20,8,-3,11,0,-5
Colorado Avalanche,2013/02/02  vs. EDM,EDM,1,38,38,0,-1,3,-2,-3,26,32,-6,-1,2,-7,-8
Anaheim Ducks,2013/02/06  vs. COL,COL,1,40,61,-21,2,-23,0,-6,27,41,-14,1,-15,0,-5
Los Angeles Kings,2013/03/16  vs. SJS,SJS,1,52,52,0,3,-3,0,8,38,33,5,2,3,0,1
Edmonton Oilers,2013/04/24  vs. CHI,CHI,1,35,46,-11,3,0,-14,-4,26,38,-12,2,0,-14,-4
Anaheim Ducks,2013/01/25  vs. VAN,VAN,1,35,33,2,1,0,1,-1,29,28,1,4,0,-3,1
Toronto Maple Leafs,2013/03/16  vs. WPG,WPG,1,43,64,-21,-1,-17,-3,-15,28,41,-13,0,-10,-3,-10
Vancouver Canucks,2013/03/28  vs. COL,COL,1,43,48,-5,5,-10,0,1,29,33,-4,4,-8,0,1
Winnipeg Jets,2013/04/25  vs. MTL,MTL,1,42,57,-15,0,-13,-2,-14,32,40,-8,0,-8,0,-9
Phoenix Coyotes,2013/03/12  vs. LAK,LAK,1,41,56,-15,-1,-14,0,3,32,34,-2,1,-3,0,5
Montreal Canadiens,2013/03/21  vs. NYI,NYI,1,38,41,-3,0,0,-3,-2,31,26,5,2,5,-2,2
Buffalo Sabres,2013/02/17  vs. PIT,PIT,1,42,44,-2,1,-2,-1,-1,30,35,-5,-1,-2,-2,-2
Winnipeg Jets,2013/02/07  vs. TOR,TOR,1,39,33,6,10,-4,0,13,32,17,15,12,2,1,14
St. Louis Blues,2013/04/05  vs. CBJ,CBJ,1,30,39,-9,1,-10,0,-2,21,29,-8,-1,-7,0,-3
Carolina Hurricanes,2013/04/18  vs. WPG,WPG,1,47,41,6,-1,0,7,3,27,29,-2,-5,0,3,-4
Los Angeles Kings,2013/03/28  vs. STL,STL,1,61,32,29,22,7,0,28,45,23,22,15,7,0,20
Philadelphia Flyers,2013/03/31  vs. WSH,WSH,1,40,48,-8,-2,-4,-2,-15,29,34,-5,-2,0,-3,-8
Buffalo Sabres,2013/03/17  vs. WSH,WSH,1,42,45,-3,-3,0,0,-2,32,29,3,-1,0,4,0
San Jose Sharks,2013/03/12  vs. STL,STL,1,65,28,37,2,0,35,29,47,21,26,6,0,20,20
Florida Panthers,2013/02/05  vs. WPG,WPG,1,33,47,-14,-5,-9,0,-14,24,29,-5,1,-6,0,-5
Nashville Predators,2013/01/31  vs. LAK,LAK,1,24,49,-25,-22,-3,0,-25,17,29,-12,-10,-2,0,-12
Calgary Flames,2013/02/15  vs. STL,STL,1,46,38,8,0,0,8,-3,31,31,0,0,0,0,-2
Calgary Flames,2013/03/15  vs. NSH,NSH,1,45,40,5,2,3,0,0,29,27,2,0,2,0,-2
Calgary Flames,2013/03/08  vs. ANA,ANA,1,64,41,23,-2,0,25,27,46,30,16,0,0,16,20
New Jersey Devils,2013/01/19  vs. NYI,NYI,1,45,31,14,8,6,0,9,32,22,10,3,7,0,5
Montreal Canadiens,2013/04/06  vs. BOS,BOS,1,51,63,-12,3,-15,0,-4,41,40,1,5,-4,0,3
Dallas Stars,2013/01/24  vs. CHI,CHI,1,36,54,-18,-5,-13,0,-10,29,37,-8,2,-10,0,-6
Carolina Hurricanes,2013/01/28  vs. BOS,BOS,1,34,45,-11,-11,0,0,-7,27,36,-9,-9,0,0,-4
Buffalo Sabres,2013/01/29  vs. TOR,TOR,1,50,34,16,9,3,4,12,37,24,13,8,2,3,10
Carolina Hurricanes,2013/03/07  vs. MTL,MTL,1,52,33,19,1,0,18,3,40,24,16,0,0,16,2
Washington Capitals,2013/01/19  vs. TBL,TBL,1,29,33,-4,-3,0,-1,-6,27,27,0,-1,0,1,-3
Pittsburgh Penguins,2013/04/20  vs. BOS,BOS,1,21,56,-35,-20,-9,-6,-26,17,42,-25,-14,-7,-4,-18
Anaheim Ducks,2013/03/14  vs. DAL,DAL,1,44,53,-9,-2,0,-7,-9,27,38,-11,-7,0,-4,-11
Montreal Canadiens,2013/03/13  vs. OTT,OTT,1,59,41,18,21,-3,0,16,41,23,18,20,-2,0,16
Phoenix Coyotes,2013/03/27  vs. MIN,MIN,1,37,53,-16,3,-10,-9,-4,29,41,-12,2,-5,-9,-4
Washington Capitals,2013/02/14  vs. TBL,TBL,1,66,44,22,1,21,0,13,49,36,13,0,13,0,9
New York Islanders,2013/04/01  vs. NJD,NJD,1,26,52,-26,1,-27,0,-5,22,33,-11,1,-12,0,-2
Ottawa Senators,2013/02/16  vs. TOR,TOR,1,52,42,10,1,0,9,7,37,34,3,1,0,2,4
Ottawa Senators,2013/02/01  vs. CAR,CAR,1,49,39,10,-4,0,14,3,36,32,4,-3,0,7,4
Boston Bruins,2013/03/02  vs. TBL,TBL,1,35,22,13,10,0,3,10,28,15,13,12,0,1,12
Minnesota Wild,2013/04/18  vs. SJS,SJS,1,59,52,7,-1,0,8,-10,41,40,1,0,0,1,-8
Tampa Bay Lightning,2013/04/04  vs. CAR,CAR,1,48,78,-30,-14,-16,0,-18,39,60,-21,-10,-11,0,-10
Carolina Hurricanes,2013/04/08  vs. BOS,BOS,1,66,51,15,5,0,10,10,51,39,12,7,0,5,11
Vancouver Canucks,2013/04/01  vs. SJS,SJS,1,62,49,13,-5,0,18,-6,37,40,-3,-9,0,6,-10
Ottawa Senators,2013/03/02  vs. PHI,PHI,1,44,46,-2,-11,0,9,-12,34,30,4,-4,0,8,-6
Calgary Flames,2013/03/13  vs. DET,DET,1,33,64,-31,-16,-17,2,-25,28,48,-20,-14,-8,2,-16
Detroit Red Wings,2013/02/27  vs. LAK,LAK,1,40,36,4,5,4,-5,0,34,31,3,5,2,-4,-1
Chicago Blackhawks,2013/04/26  vs. CGY,CGY,1,68,35,33,3,30,0,6,48,27,21,2,19,0,3
