Team,Game,Opp Team,GP,W,L,T,OT,P,GF,GA,SF,SA,PPG,PP Opp,PP%,TS,PPGA,PK%,FOW,FOL,FOW%
Philadelphia Flyers,2013/02/21  vs. FLA,FLA,1,0,1,0,0,0,2,5,34,26,0,2,0,3,1,66.7,32,31,50.8
Tampa Bay Lightning,2013/02/02  vs. NYR,NYR,1,0,1,0,0,0,2,3,32,30,1,1,100,2,0,100,38,29,56.7
Montreal Canadiens,2013/04/23  @ NJD,NJD,1,0,1,0,0,0,2,3,21,24,1,4,25,4,2,50,35,24,59.3
Ottawa Senators,2013/03/02  @ PHI,PHI,1,0,1,0,0,0,1,2,34,41,0,5,0,5,0,100,30,32,48.4
Los Angeles Kings,2013/04/24  @ DET,DET,1,0,1,0,0,0,1,3,24,36,0,3,0,4,1,75,21,33,38.9
Phoenix Coyotes,2013/03/18  @ LAK,LAK,1,0,1,0,0,0,0,4,27,29,0,4,0,6,2,66.7,32,28,53.3
Boston Bruins,2013/04/27  @ WSH,WSH,1,0,0,0,1,1,2,3,34,37,0,2,0,5,3,40,25,33,43.1
St. Louis Blues,2013/03/16  vs. ANA,ANA,1,1,0,0,0,2,2,1,21,28,1,3,33.3,2,0,100,39,34,53.4
Washington Capitals,2013/01/24  vs. MTL,MTL,1,0,1,0,0,0,1,4,31,22,0,4,0,6,2,66.7,30,25,54.5
Edmonton Oilers,2013/04/04  @ VAN,VAN,1,0,1,0,0,0,0,4,23,28,0,4,0,5,1,80,27,27,50
Detroit Red Wings,2013/03/03  vs. CHI,CHI,1,0,0,0,1,1,1,1,33,33,0,2,0,4,1,75,28,27,50.9
Dallas Stars,2013/02/28  vs. EDM,EDM,1,0,1,0,0,0,1,5,34,38,0,5,0,9,1,88.9,32,39,45.1
Toronto Maple Leafs,2013/03/14  vs. PIT,PIT,1,0,1,0,0,0,1,3,29,28,0,3,0,3,0,100,26,36,41.9
Edmonton Oilers,2013/04/10  vs. PHX,PHX,1,0,1,0,0,0,1,3,30,32,0,3,0,5,1,80,28,33,45.9
Phoenix Coyotes,2013/04/27  @ ANA,ANA,1,1,0,0,0,2,5,3,31,46,0,2,0,4,1,75,39,29,57.4
San Jose Sharks,2013/04/09  @ CBJ,CBJ,1,0,1,0,0,0,0,4,30,30,0,1,0,2,0,100,30,32,48.4
Minnesota Wild,2013/03/16  @ COL,COL,1,1,0,0,0,2,6,4,28,32,1,2,50,2,0,100,34,31,52.3
Phoenix Coyotes,2013/03/25  vs. DET,DET,1,0,1,0,0,0,2,3,30,35,1,3,33.3,5,2,60,37,23,61.7
Columbus Blue Jackets,2013/03/14  vs. CHI,CHI,1,0,0,0,1,1,1,1,30,40,1,2,50,1,0,100,30,33,47.6
Colorado Avalanche,2013/01/31  @ CGY,CGY,1,1,0,0,0,2,6,3,22,28,1,2,50,3,0,100,24,32,42.9
Vancouver Canucks,2013/01/23  vs. CGY,CGY,1,1,0,0,0,2,2,2,36,36,1,4,25,5,1,80,29,29,50
